name,year,paper title,co-authors,gender,Morrocan affiliation 
Yoshua Bengio,2023,Laughing Hyena Distillery: Extracting Compact Recurrences From Convolutions ," Stefano Massaroli, Michael Poli, Dan Fu, Hermann Kumbong, Rom 
Parnichkun, David Romero, Aman Timalsina, Quinn McIntyre, Beidi Chen, 
Atri Rudra, Ce Zhang, Christopher Ré, Stefano Ermon",male,no
Yoshua Bengio,2023,Reusable Slotwise Mechanisms ,"Trang Nguyen, Amin Mansouri, Kanika Madan, Khuong Duy Nguyen, 
Kartik Ahuja, Dianbo Liu,",male,no
Yoshua Bengio,2023,"Improving *day-ahead* Solar Irradiance Time Series Forecasting by Leveraging Spatio-Temporal 
Context","Oussama Boussif, Ghait Boukachab, Dan Assouline, Stefano Massaroli,
Tianle Yuan, Loubna Benabbou",male,no
Yoshua Bengio,2022,Is a Modular Architecture Enough?,"Sarthak Mittal, Guillaume Lajoie",male,no
Yoshua Bengio,2022,Weakly Supervised Representation Learning with Sparse Perturbations,"Kartik Ahuja, Jason S. Hartford,",male,no
Yoshua Bengio,2022,"Discrete Compositional Representations as an Abstraction for Goal Conditioned Reinforcement 
Learning","Riashat Islam, Hongyu Zang, Anirudh Goyal, Alex M. Lamb, Kenji Kawaguchi,
 Xin Li, Romain Laroche, Remi Tachet des Combes",male,no
Yoshua Bengio,2022,Neural Attentive Circuits ,"Martin Weiss, Nasim Rahaman, Francesco Locatello, Chris Pal, Bernhard 
Schölkopf, Erran Li Li, Nicolas Ballas",male,no
Yoshua Bengio,2022,Trajectory balance: Improved credit assignment in GFlowNets,"Nikolay Malkin, Moksh Jain, Emmanuel Bengio, Chen Sun",male,no
Yoshua Bengio,2022,"Controlled Sparsity via Constrained Optimization or: How I Learned to Stop Tuning Penalties and 
Love Constraints ","Jose Gallego-Posada, Juan Ramirez, Akram Erraqabi,Simon Lacoste-Julien",male,no
Yoshua Bengio,2022,Temporal Latent Bottleneck: Synthesis of Fast and Slow Processing Mechanisms in Sequence Learning,"Aniket Didolkar, Kshitij Gupta, Anirudh Goyal, Nitesh Bharadwaj Gundavarapu, 
Alex M. Lamb, Nan Rosemary Ke",male,no
